year,Brazil,Colombia,Cameroon,DR Congo,Costa Rica,Cete d'Ivoire,Ecuador,El Salvador,Ethiopia,Guatemala,Honduras,India,Indonesia,Kenya,Mexico,Nicaragua,Papua New Guinea,Peru,Tanzania,Thailand,Uganda,Vietnam,Average
1965,13497,5652,819,589,793,2791,765,1655,1360,1509,408,414,1382,635,1327,508,187,548,471,0,2482,0,1718
1966,17031,5566,1211,585,901,3045,718,1619,1144,1864,376,395,1671,905,1536,417,200,586,849,0,2942,0,1980
1967,17331,6094,1051,962,1089,2511,952,2033,1128,1322,366,583,2207,838,1290,429,279,635,732,0,2524,0,2016
1968,19035,6588,1227,1129,1133,3611,815,1982,1273,1485,437,547,1326,624,1582,448,291,792,820,3,2602,0,2170
1969,19613,6478,1161,1022,1101,3017,627,1899,1445,1633,396,579,1638,850,1622,452,410,732,768,4,2984,0,2201
1970,17085,6509,1084,1083,1142,3353,879,1865,1333,1599,423,507,1438,894,1413,503,390,734,769,2,3226,0,2101
1971,18399,6569,980,1332,1035,3306,777,1689,1603,1685,419,610,1139,935,1621,530,462,710,610,0,2725,0,2143
1972,19215,6528,1116,1348,1277,3504,904,2083,1556,1856,544,742,1398,1044,1724,580,498,915,932,0,3307,0,2321
1973,19817,6766,1422,1096,1394,3567,1162,2489,1595,1919,664,968,1631,1242,2327,622,614,973,990,0,3632,0,2495
1974,13279,6906,1669,1189,1488,4346,988,2554,1111,2215,515,843,1797,1183,1992,557,597,442,688,0,3121,0,2158
1975,14604,8400,1623,1024,1274,4096,1072,3062,1139,2158,812,993,2168,1104,2392,674,595,720,853,0,2943,0,2350
1976,15602,7090,1641,1415,1091,5547,1531,2666,1466,2142,722,833,2106,1262,2751,802,799,703,979,22,2552,0,2442
1977,10083,5848,1159,1139,1187,4021,923,3015,1124,2173,599,912,2515,1534,1783,802,626,741,759,19,2200,0,1962
1978,12754,9584,1378,1275,1412,4093,1638,2347,1390,2204,958,1080,3460,1415,1970,887,769,892,813,24,1895,0,2374
1979,13060,11431,1718,1026,1625,4620,1419,3390,1547,2582,1101,1036,3607,1278,2990,923,826,1157,847,66,2384,0,2665
1980,15627,11103,1574,934,1183,3618,969,3046,1258,1578,951,1358,3608,1334,2185,826,844,738,707,36,1824,0,2514
1981,15848,9059,1590,1046,1590,4083,1106,2041,1434,2125,1130,1535,3622,1338,2022,863,786,755,1027,92,2139,0,2511
1982,17210,8853,1597,1136,1589,4689,1539,2218,1400,2484,958,1434,3662,1641,2082,817,687,729,934,124,2912,69,2671
1983,17836,9209,1566,1082,1785,3984,1453,2796,1550,1988,1238,1174,4058,1402,3050,1102,878,970,814,200,2405,77,2755
1984,19505,10199,1406,1314,1842,3498,1403,2722,1454,2183,1130,1079,4881,1580,2832,709,824,906,944,172,2220,66,2858
1985,19157,9808,1616,1088,2040,4653,1588,2632,1133,3098,1192,1592,4871,1713,3294,704,677,1008,710,340,2538,157,2982
1986,9499,11566,1789,2448,1560,4172,1920,2072,1250,2266,1325,1490,4992,2031,3354,558,887,1246,843,368,2347,392,2653
1987,18887,11283,1407,1775,2272,2858,1863,2579,1226,2466,1451,1563,4844,1600,3651,654,1071,1165,790,378,2482,433,3032
1988,17005,9784,1633,920,2019,3661,1404,2051,1408,2479,1263,1476,5109,1411,2767,549,748,825,613,462,2405,567,2753
